idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
242,4,double,word,wordletter,place,S45-E4504_03376.png,S45-E4504_03376.png,288,178,1,3
243,4,double,word,word,place,S35-E4063_02102.png,S35-E4063_02102.png,217,288,1,2
244,4,none,none,none,none,s009.png,s009.png,610,844,4,1
245,0,none,none,none,none,S48-E4816_01098.png,S48-E4816_01098.png,388,186,1,3
246,0,none,none,none,none,S48-E4816_01154.png,S48-E4816_01154.png,403,157,1,3
247,0,none,none,none,none,s007.png,s007.png,610,150,5,1
248,0,none,none,none,none,S48-E4816_01714.png,S48-E4816_01714.png,390,97,1,3
249,0,none,none,none,none,S48-E4816_00981.png,S48-E4816_00981.png,340,160,1,3
250,0,none,none,none,none,S41-E4221_01192.png,S41-E4221_01192.png,353,167,1,3
251,0,none,none,none,none,S38-E4136_00952.png,S38-E4136_00952.png,235,171,1,2
252,0,none,none,none,none,S48-E4816_00805.png,S48-E4816_00805.png,252,179,1,3
253,0,none,none,none,none,S38-E4138_02712.png,S38-E4138_02712.png,293,91,1,2
254,0,none,none,none,none,S35-E4067_00877.png,S35-E4067_00877.png,198,195,1,2
