idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
1,1,single,face,face,none,S48-E4833_00949.png,S48-E4833_00949.png,239,86,1,3
2,1,single,face,face,none,S48-E4833_00860.png,S48-E4833_00860.png,201,233,1,3
3,1,single,face,face,none,S36-E4086_01330.png,S36-E4086_01330.png,288,144,1,2
4,1,single,face,face,none,S36-E4085_00202.png,S36-E4085_00202.png,239,134,1,2
5,1,none,none,none,none,s001.png,s001.png,150,150,4,1
6,1,none,none,none,none,s002.png,s002.png,150,500,4,1
7,1,single,face,face,none,S36-E4086_01262.png,S36-E4086_01262.png,223,166,4,2
8,1,single,face,face,none,S44-E4401_00818.png,S44-E4401_00818.png,369,94,4,3
9,1,single,face,face,none,S48-E4831_00758.png,S48-E4831_00758.png,210,50,4,3
10,1,double,face,face,number,S11-E1400_00687.png,S11-E1400_00687.png,320,74,1,2
11,1,double,face,face,number,S7-E839_02712.png,S7-E839_02712.png,282,126,1,3
12,1,double,face,face,place,S39-E4179_02790.png,S39-E4179_02790.png,350,144,1,3
13,1,double,face,face,place,S7-E839_02734.png,S7-E839_02734.png,264,106,1,3
14,1,double,face,face,word,S1-E90_00298.png,S1-E90_00298.png,137,175,1,2
15,1,double,face,face,word,S11-E1391_01718.png,S11-E1391_01718.png,267,119,1,2
16,1,double,number,number,face,S07-E0892_00318.png,S07-E0892_00318.png,160,124,1,2
17,1,double,number,numbersingle,face,S7-E839_02907.png,S7-E839_02907.png,121,135,1,3
18,1,single,number,numbersingle,none,S36-E4086_01999.png,S36-E4086_01999.png,248,188,1,2
19,1,single,number,numbersingle,none,S31-E3885_00513.png,S31-E3885_00513.png,178,155,1,2
20,1,single,number,number,none,S43-E4324_02007.png,S43-E4324_02007.png,290,174,1,3
21,1,single,number,numbersingleNS,none,S36-E4085_01999.png,S36-E4085_01999.png,176,159,1,2
22,1,none,none,none,none,s003.png,s003.png,150,844,4,1
23,1,none,none,none,none,s004.png,s004.png,380,150,4,1
24,1,single,number,number,none,S44-E4424_03375.png,S44-E4424_03375.png,304,173,4,3
25,1,single,number,number,none,S43-E4325_02069.png,S43-E4325_02069.png,316,170,4,3
26,1,single,number,numbersingle,none,S38-E4158_01946.png,S38-E4158_01946.png,242,138,4,2
27,1,double,number,number,place,S29-E3721_02290.png,S29-E3721_02290.png,243,88,1,2
28,1,double,number,numbersingle,place,S36-E4086_02184.png,S36-E4086_02184.png,200,172,1,2
29,1,double,number,numbersingle,word,S11-E1391_03503.png,S11-E1391_03503.png,248,178,1,2
30,1,double,number,numbersingle,word,S18-E2263_00025.png,S18-E2263_00025.png,105,78,1,2
31,1,double,place,place,face,S02-E0272_03362.png,S02-E0272_03362.png,205,193,1,2
32,1,double,place,place,face,S47-E4734_00084.png,S47-E4734_00084.png,166,110,1,3
33,1,single,place,place,none,S47-E4718_01142.png,S47-E4718_01142.png,324,210,1,3
34,1,single,place,place,none,S47-E4719_00519.png,S47-E4719_00519.png,327,206,1,3
35,1,single,place,place,none,S47-E4719_00715.png,S47-E4719_00715.png,339,247,1,3
36,1,single,place,place,none,S47-E4719_00716.png,S47-E4719_00716.png,369,192,1,3
37,1,none,none,none,none,s005.png,s005.png,380,500,4,1
38,1,none,none,none,none,s006.png,s006.png,380,844,4,1
39,1,single,place,place,none,S34-E4033_02868.png,S34-E4033_02868.png,222,231,4,2
40,1,single,place,place,none,S40-E4208_03086.png,S40-E4208_03086.png,320,200,4,3
41,1,single,place,place,none,S40-E4209_01810.png,S40-E4209_01810.png,385,212,4,3
42,1,double,place,place,number,S10-E1241_02117.png,S10-E1241_02117.png,322,153,1,2
43,1,double,place,place,number,S39-E4169_02571.png,S39-E4169_02571.png,261,227,1,3
44,1,double,place,place,word,S7-E839_03436.png,S7-E839_03436.png,453,98,1,3
45,1,double,place,place,word,S07-E0822_00589.png,S07-E0822_00589.png,357,200,1,2
46,1,double,word,word,face,S02-E0251_02874.png,S02-E0251_02874.png,330,144,1,2
47,1,double,word,wordletter,face,S02-E0251_00926.png,S02-E0251_00926.png,249,195,1,2
48,1,single,word,wordletter,none,S43-E4317_01239.png,S43-E4317_01239.png,325,238,1,3
49,1,single,word,wordletter,none,S35-E4074_00921.png,S35-E4074_00921.png,236,172,1,2
50,1,single,word,wordletter,none,S35-E4074_00779.png,S35-E4074_00779.png,234,170,1,2
51,1,single,word,wordletter,none,S43-E4324_01196.png,S43-E4324_01196.png,416,257,1,3
52,1,none,none,none,none,s007.png,s007.png,610,150,4,1
53,1,none,none,none,none,s008.png,s008.png,610,500,4,1
54,1,single,word,wordletter,none,S43-E4316_01000.png,S43-E4316_01000.png,310,177,4,3
55,1,single,word,wordletter,none,S34-E4046_02024.png,S34-E4046_02024.png,225,209,4,2
56,1,single,word,wordletter,none,S35-E4060_01066.png,S35-E4060_01066.png,239,180,4,2
57,1,double,word,word,number,S10-E1241_02873.png,S10-E1241_02873.png,235,161,1,2
58,1,double,word,wordletter,number,S11-E1391_00651.png,S11-E1391_00651.png,391,114,1,2
59,1,double,word,wordletter,place,S7-E839_02541.png,S7-E839_02541.png,276,218,1,3
60,1,double,word,wordletter,place,S30-E3789_00448.png,S30-E3789_00448.png,188,275,1,2
61,1,none,none,none,none,s009.png,s009.png,610,844,4,1
62,2,single,face,face,none,S35-E4059_00762.png,S35-E4059_00762.png,263,98,1,2
63,2,single,face,face,none,S35-E4059_00752.png,S35-E4059_00752.png,246,114,1,2
64,2,single,face,face,none,S35-E4059_00432.png,S35-E4059_00432.png,223,100,1,2
65,2,single,face,face,none,S35-E4058_00802.png,S35-E4058_00802.png,207,136,1,2
66,2,none,none,none,none,s001.png,s001.png,150,150,4,1
67,2,none,none,none,none,s002.png,s002.png,150,500,4,1
68,2,single,face,face,none,S36-E4086_01262.png,S36-E4086_01262.png,223,166,4,2
69,2,single,face,face,none,S44-E4401_00818.png,S44-E4401_00818.png,369,94,4,3
70,2,single,face,face,none,S48-E4831_00758.png,S48-E4831_00758.png,210,50,4,3
71,2,double,face,face,number,S02-E0138_00741.png,S02-E0138_00741.png,242,176,1,2
72,2,double,face,face,number,S02-E0138_01213.png,S02-E0138_01213.png,275,121,1,2
73,2,double,face,face,place,S1-E90_02653.png,S1-E90_02653.png,169,65,1,2
